ID,Name,Type,HP,HP Recovery Rate,MP,MP Recovery Rate,TP,ATK,DEF,MAG,MND,SPD,EVA,ACC,HP Base Value,ATK Base Value,DEF Base Value,MAG Base Value,MND Base Value,SPD Base Value,FIR,CLD,WND,NTR,MYS,SPI,DRK,PHY,PSN,PAR,HVY,SHK,TRR,SIL,DTH,DBF,Special,Desc1,Desc2,Desc3,Desc4
12,Reflex Booster Augment,main,0,0,0,0,0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,An augment pack that increases reflexes via implanting mechanical nerves.,"Mechanical augmentation pushes the limits of the human body, but it also",brings discrimination issues between the augmented and the unaugmented.,EVA +40
13,Manga Meat,main,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Its meat you often find in gag manga. No further explanation necessary.,"It's not soft, but it stretches out a lot when you bite into it.", ,HP Recovery Rate +3
14,Recovery Armband,main,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Increases HP recovery speed, but also causes hunger 6 times faster. With","the change in HP recovery speed, it's a necessary item for damage","races against endgame foes. You need wall-walking, stealth or this.",HP Recovery Rate +4
15,Life Drain Tome,main,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A dark magic tome. The caster using it absorbs half the damage dealt. It,"was always a mainstay for 1vMany situations, but having Armsthrift",and it being buyable made it even more broken. A must-have for Lunatic.,HP Recovery Rate +6
16,Elixir of Mages,main,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"An elixir that, when used, increases maximum MP. It's annoying to use",them one by one so people like to just drink them all right before the,"last boss, but even that gets too annoying after enough replays.",MP Recovery Rate +1
17,Orb of Gaia,main,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"A divine orb guarded by a dragon. To get it, you need the Neutral Crystal","and multiple parties, so it's quite annoying.", ,MP Recovery Rate +2
18,Midgard's Tooth,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adds PSN effect to all attacks,A sword obtained from defeating a mystery heart in the Star Curtain. It's,"the only quality B-rank equip, but not really that good when you get it.", ,Adds PSN effect to all attacks
19,Modified Taser,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adds PAR effect to all attacks,A dangerous stun gun held by a certain sister. It's made by,"Yakuza, which guarantees its power. Without this, ""that event"" in",a certain chapter might not have happened.,Adds PAR effect to all attacks
20,Repulsion Orb,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adds HVY effect to all attacks,A red orb that's about the size of a volleyball. Allows its user to repel,"anything he wishes. According to Rinnosuke's abilities, it can also","attract things, but no one knows how to use it that way.",Adds HVY effect to all attacks
21,Great Hammer,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adds SHK effect to all attacks,An item that can break statues blocking roads in the depth of Internet.,"Obtainable in postgame, but you have to do a bunch of backtracking",and defeat a strong boss to get past a cube. Rather annoying to get.,Adds SHK effect to all attacks
22,Strange Meat Pie,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adds TRR effect to all attacks,"From a world in ruins, befriending this heartwarming and closely-knit",family engaging in perfectly healthy activities and business gets you,"this pie. In my opinion, it was the scariest part of the whole game.",Adds TRR effect to all attacks
23,Sword of Singing Delusion,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adds SIL effect to all attacks,"A weapon that has a chance to inflict ""Delusion"" status when attacking.",It has a really awesome name.,,Adds SIL effect to all attacks
24,Dark Will,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adds DTH effect to all attacks,Activates when the user wants something badly and it won't stop at murder,to get it. Eventually manifests itself into the stand piercing through,dimensions to get at the enemy. Pretty broken for a main character.,Adds DTH effect to all attacks
25,Violent Green Rupee,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Money Acquisition Rate +4%,A sentient gem on the back of a certain younger sister.,Wearing it will probably increase your money luck.,,Money Acquisition Rate +4%
26,Shoes of Happiness,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EXP Acquisition Rate +6%,"Boots that give 1 EXP per step. It should be useful, but by the time you","get it, 1 EXP is a rounding error. By 8 onwards, it's generally used as",a material for Happy Hat instead. Poor thing.,EXP Acquisition Rate +6%
27,Growth Egg,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EXP Acquisition Rate +10%,A famous experience boosting accessory. Realize that Columbus was wrong,"to find where its hidden. In 6 and Type-0 it's easy to get at a good time,","but otherwise, by the time it's gotten, it's not really useful any more.",EXP Acquisition Rate +10%
28,Pure Sake - Wild Boar,main,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sake that's made with only quality materials,",and hand-crafted with much care and effort.,Guaranteed to smell and taste good.,Maximum MP +2 Maximum TP +2
29,HQ Sake - Deer,main,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Higher quality sake hand-crafted with even more care and effort.,The best that can be obtained within the Human Village., ,Maximum MP +3 Maximum TP +3
30,Pure HQ Sake - Butterfly,main,0,0,4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Pure and top quality sake that holds prestige even amongst Gensokyo's,most powerful entities. It has a distinctive fruity smell that rivals,that of fruit wines. Many people use wineglasses when drinking it.,Maximum MP +4 Maximum TP +4
31,First Aid Kit,main,0,-8.0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Restores 80% of damage sustained. On the highest difficulty, with zombies","faster than humans, taking 5 hits to kill and coming in mobs, any mistake","uses these up. Once your team's out of these, the real fight begins.",HP Recovery Rate -8 HP Base Value +4.8
32,Exorcising Staff,main,0,0,16.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A miraculous staff that protects a certain fortress city from any and all,"evil. It protects against external threats, but not internal threats. If","it's cursed, then it will be quickly retrieved, so don't worry about that.",MP Recovery Rate -2 Maximum MP +16
33,Chario Boots,main,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,0,-1.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Footwear that can be found in the Time Dungeon. It's common to loiter,"around on your first time, and end up getting accosted by secret bosses.", ,SPD Base Value +0.8 ATK Base Value -1.2 MAG Base Value -1.2
34,Choice Scarf,main,0,0,-5.0,0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"An item that increases speed by 50%, but locks the user into one move.","It can be limiting once discovered, but even so it's still very powerful.","Useful on your aces, or on slow attackers.",SPD Base Value +1.0 Maximum MP -5 Maximum TP -5
35,Youkai Medal Shattering Axe,main,0,0,-5.0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"An item important to the story setting, this axe can shatter","Medals, and even occasionally, shatter the terrifying Youkai Medals.","He's also plenty strong without it, and when berserk, victory is 100%.",Maximum MP -5 ATK Base Value +1.0 MAG Base Value +1.0
36,Jogurt Doll,main,0,0,5.0,1.0,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Number 1., , ,Maximum TP -8 Maximum MP +5 MP Recovery Rate +1
37,Primal Armor,main,0,0,-6.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A barrier that is created via sustained flow of certain particles. Its,"defensive ability is excellent, and can stop most attacks from ACs. It's",was shocking to see the previous works' protagonist ACs become so useless.,Maximum MP -6 DEF Base Value +1.0 MND Base Value +1.0
38,Experimental MIRV,main,0,0,0,0,0,0,0,0,0,0,0,-25.0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A weapon that fires 8 mini-nukes once. Makes one wonder what the heck the,"inventor was thinking. The ammo is expensive, its over-elaborate effects","slows down the game, it's suicide when indoors... ""Amazing"" in many ways.",ACC -25 ATK Base Value +1.5 MAG Base Value +1.5
39,Micron's Magic Book,main,0,0,0,0,0,0,0,0,0,0,48.0,0,0,0,-2.0,0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"When used on field, it has a shrinking effect that unlocks new areas. In","battle, it turns you invincible, while reducing damage to 1, like a cheat.","The shortcuts were obvious, so that may well have been its true purpose.",EVA +48 DEF Base Value -2.0 MND Base Value-2.0
40,Ribbon,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,"It's a ribbon, so obviously it increase all status ailment resistances.",There's no room for arguments., ,All Resistances +50
41,Krosis,main,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,The mask worn by a Dragon Priest near a certain dragon lair. Many have felt the,"despair from finishing a rough battle against a dragon, then being ambushed",by a Dragon Priest right after. Raises Smithing and Alchemy considerably.,Maximum MP +10
42,Button of Undying,main,0,0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"A button given to you by someone as he unleashed his full power, having",finally finished recharging it with his strength. ...But only Rouga can,"equip it, and you get it past the point where you can equip items. Strange.",Maximum MP +12 MP Recovery Rate +1
43,Judas Pain,main,0,0,15.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A key to the gates of Hell broken into 8 pieces. Supposed to be held by the,"the 7 Kings of Hell and DS, but now they're all within DS's body, with one","exception. Brings great power, but great pain to the mind, body, and soul.",Maximum MP +15 MP Recovery Rate +1
44,Ethos of Bodybuilding 1,main,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Ethos #1: no one should stand out from the protagonist, apparently. A book",that extols the virtues of training your body to firm your mind. Cringey., ,Maximum TP +12
45,Ethos of Bodybuilding 2,main,0,3.0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Ethos #2: A man never loses a 1v1 duel, apparently. A book that extols the",virtues of training your body to help others. Still kind of cringey., ,Maximum TP +15 HP Recovery Rate +3
46,Ethos of Bodybuilding EX,main,0,6.0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Ethos #3: Sub-characters exist only to support the main characters from the,"shadows, apparently. A book that extols the virtues of training so hard,",you overcome your role and become a main character. Cringey as always.,Maximum TP +20 HP Recovery Rate +6
47,Luck and Pluck,main,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drop Rate +20% when holder defeats an enemy,The sword bequeathed by an ancient honorable hero in his dying moments.,"The sword originally had the word ""LUCK"" engraved into it, but the hero","used his blood to add the P to turn it into ""PLUCK.""",ATK Base Value +1.0 Drop Rate +20% when holder defeats an enemy
48,Marquis de Sade's Joy,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Increases ailment effects on enemies by 15%,One of the weapons used by vampires. A relatively normal knife compared to,"the other weapons. Most fights are won with this up close, or Caligula from",afar. Used often in the story for angsty half-vampiric wrist-slitting.,Increases ailment effects on enemies by 15%
49,Egg,main,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Occasionally heals ailments,The final Quell created by an once-prosperous ancient civilization.,"Contains the consciousness of the ancestors. Grants huge amounts of power,",but turns its owner into a human-antagonistic puppet of the ancestors.,All Stats Base Values +0.5 Occasionally heals ailments
50,Exalted Falchion,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Increases damage by 20% when hitting weaknesses,An unsealed sword with its true power unleashed. Deals effective damage to,dragons and fell dragons. You'll get owned by roided grunts at Lunatic's,last boss if you don't kill it quickly with this and the Parallel version.,Increases damage by 20% when hitting weaknesses
51,La Pucelle d'Orleans,main,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"One of the Five Heavenly Swords. Boasts great stats, but has a mind of its",own. Anyone who it doesn't acknowledge as legitimate will be damaged,"when swinging it. However, just equipping it for the stats seems to be fine.",ATK Base Value +1.5 DEF Base Value +1.0 SPD Base Value +0.5
52,Force Booster,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A very strong accessory that doubles the INT of its wearer. Turns anyone's,"magic genocidal, but given the stat inflation that endgame enemies undergo,",this firepower-enhancing equipment actually ends up pretty balanced.,"MAG Base Value +1.5, MND Base Value +1.0, SPD Base Value +0.5"
53,Life Aura,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Reduces damage taken by 8% of max HP, occasionally negates damage",A defensive barrier that negates attacks doing less than a set amount of,"damage. Lasts a few turns except for enemies, where it even regenerates.","Negating 200+ damage in a game where the last boss has 2,000 HP is crazy.","Reduces damage taken by 8% of max HP, occasionally negates damage"
54,Super Drill,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ignores 25% of enemy's defenses when attacking,A powerful and unique equip that raises the holder's critical rate by 30%.,That 30% is also added as damage even when the enemy evades or parries.,Useful for subsequent playthroughs where enemy armor stats keep rising.,Ignores 25% of enemy's defenses when attacking
55,Blood Sword,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovers 4% HP when attacking an enemy,A demonic sword that drains the life force of whoever it slashes. Has lots,"of drawbacks such as low accuracy and backfiring against undead, but",being able to attack and heal at the same time is still really handy.,Recovers 4% HP when attacking an enemy
56,Angel Slime Hat,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Increases EXP by 10% from all enemies that the holder defeats,An extremely helpful hat that multiplies your EXP when below a certain,level. Take full advantage of it while grinding passives from all classes.,"Used to help newbie players catch up, but it's very generous nonetheless.",Increases EXP by 10% from all enemies that the holder defeats
57,Ancient Scepter,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Increases the holder's buff, debuff and inflicted ailment effects by 12%","An item that enhances your class's fourth skill, which is almost always the","strongest available. Very useful, but you won't get it so easily - it's a","random drop, and only shows up after clearing the hardest difficulty.","Increases the holder's buff, debuff and inflicted ailment effects by 12%"
58,Tokugawa Statue,main,0,0,12.0,0,12.0,0,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"A miraculous item that creates a new equip page, multiplying the amount of",item slots. Dropped from Pocky Rocks - some players have went 300 hours,"without one. Later versions mitigated this somewhat, but it's still rare.",MP/TP +12 All Base Values +1.2
59,Avoid Ring,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buffs all allies and debuffs all enemies slightly when an attack is dodged,A Karma Ring which removes all enemies' press turn icons if you dodge or,"negate their attacks through resistances, giving your party the initiative.","Extremely effective at endgame, which is all about resisting attacks.",Buffs all allies and debuffs all enemies slightly when an attack is dodged
60,Infinity Bandana,main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Occasionally prevents MP consumption,An ordinary-looking bandana with an infinity mark on it. Somehow gives,"all guns unlimited ammo when it is worn. Disregarding the logistics,",this is what you get when a legendary hero with endless pride has his way.,Occasionally prevents MP consumption
201,Piece of Heart,sub,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,The good ol' thing which you collect four of to increase your number of,hearts by 1. Make sure you collect lots of them to get a lot of hearts., ,HP +12%
202,Mad Milk,sub,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Bottled white liquid. Damage done to enemies covered in this comes back,as healing by 60% of damage done. Just as unsettling as the Sniper's,"Jarate. Dipping figurines in it may make things advance, in many ways.",HP +24%
203,Energy Tank,sub,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"There are 6 in 1, 5 in 2, and about 20 in later entries.",The first one obtained doubles your max HP. Truly a lifeline.,"But once you have several, additional tanks seem to be simply fillers.",HP +36%
204,Yggdrasil Dew,sub,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"A powerful item that heals all allies' HP fully. However, it's limited in","number, doesn't revive or recover MP, and area healing spells are good","enough. Better in spinoff, where it lets all your monsters attack at once.",HP +48%
205,Power Bracer,sub,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"An item that doubles attack EV gain when equipped. Also, a parent holding",it will pass its attack IV to the offspring. A very nice item that,greatly reduces unproductive time spent cycling back and forth.,ATK +12%
206,DX Mechamonkey Model,sub,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"The item that stole the Golden Bear's thunder, and hadn't been seen much",lately... until it appeared as part of Goron's fleet., ,ATK +24%
207,Biggest Sword Ever,sub,0,0,0,0,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,The strongest weapon that fires three huge waves of unlimited range. You,"may want to save your money for it at the last stage, but with just the","last boss in mind, the Raging Wave Sword's wave trails are more useful.",ATK +36%
208,Shinai of Spirits,sub,0,0,0,0,0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Swinging it 100 times increase strength by 1. Hunger and the turn limit,"may be a problem, but it's still easy to max out strength. In the hands of","an experienced player, the game is officially broken.",ATK +48%
209,Bulletproof Armor,sub,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Armor that protects an Earth soldier's life.,"For some reason, it used to increase HP instead of defense.",About 2000 of these will make higher difficulties safer.,DEF +12%
210,Armored Parasite,sub,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Insect-like items that, when placed in body, improves toughness beyond","cyborg levels. When equipped, one can become as strong as Ken or Kevin.","The localization change was superfluous, no matter how you look at it.",DEF +24%
211,Purple Metallic Armor,sub,0,0,0,0,0,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"From the looks of it, it's an armor meant to protect the shoulders and","chest, but when worn by a human, it's big enough to cover more. It has a",lot of yellow Noisy Boys on it too. No idea what that's supposed to mean.,DEF +36%
212,Reinforced Leather Armor,sub,0,0,0,0,0,0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Bought in stores from mid-game, or won from the casino in Primm. If you","find it unsafe to stay naked until Gun Runners, farm 2000cap and this,",and head to New Vegas from Neil's Shack. Solves the entry fee too.,DEF +48%
213,Cantrip Book,sub,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Book that records all sort of troublesome things.,"It might allow you to use all sorts of status attacks, or it might not.", ,MAG +12%
214,Light Staff,sub,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A light-elemental weapon that is useful against that super tough boss.,"It's a pretty weapon, but doesn't really enhance the wielder's magic.", ,MAG +24%
215,Mana Flower,sub,0,0,0,0,0,0,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,An accessory created by fusing a Nature's Gift and a Mana Potion.,"Judging from its icon, it's created by just plopping the green flower",representing the Nature's Gift on the mouth of the potion bottle.,MAG +36%
216,Kalar's Crystal,sub,0,0,0,0,0,0,0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A beautiful crystal embedded inside a Kalar's forehead. It gives the owner,"strong magic power, but the Kalar from whom this is taken from will die.","If you want Craia to survive, you need to learn magic from Haniwaism.",MAG +48%
217,Book of Stamp Bingo,sub,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A notebook that keep track of the Stamp Bingo Rally's stamps. It's quite,"fun looking for these throughout the entire game, but they can be really",well hidden. Collecting these without a guide is extremely difficult.,MND +12%
218,Crepe Mariette,sub,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"A crepe with a caramel surface, after a flambe with Kirsch. With butter,","vanilla, brandy, and caramel, it's truly a sophisticated and tasty crepe.", ,MND +24%
