Character,CharID,Name,ID,awakening,Cost,Max Lvl,Description,HP,MP,TP,ATK,DEF,MAG,MND,SPD,EVA,ACC,AFF,RES
Marisa Kirisame,2,Magic Boost,5,False,2,5,Increase Magic.,0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Speed Boost,7,False,2,5,Increase Speed.,0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,MAlice Cannon (Marisa),20,False,5,2,Marisa's Speed is increased by (SLv * 15)% when Alice is on the reserve party. This can only take effect if at least one ally or enemy has performed an action in the battle.,0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Main character - Marisa,21,False,5,2,"When more than five characters are KO'd, Marisa will recover (SLv) MP and receive a (SLv * 10%) buff to all her stats every time she takes a turn . (Fixed in Plus Disk.)",0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Sheer Force,22,False,15,1,"When attacking with an element the enemy resists, reduce enemy's elemental affinity to (100 + (affinity - 100) / 2). Additionally, pierce 1/3 of the enemy's ailment and debuff resistances when attacking.",0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Sudden Impulse,23,False,5,2,"Increase damage variance (-5% to minimum damage and +10% to maximum damage per level, averaging a +2.5% damage increase per level).",0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Lively and Healthy,24,False,5,2,Recovers (100 + Lv * 150)% faster from ailments and debuffs. (Bug: doesn't actually speed up recovery from debuffs),0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Magic Training,25,False,5,2,"When Marisa is on the front line, increase Mystic damage output by (SLv * 15)% for all frontliners.",0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Hakkero Charge Mode,26,True,80,1,"When the user receives a turn either in front or in back, increase Hakkero Charge counter by 1. All attacks receive a damage bonus of (counter * 4)%. The counter maxes at 25, and cannot be reduced in battle.",0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Hakkero Custom Mode,27,True,70,1,Marisa's personal spellcards will inflict 25% more damage. This skill does not work if Hakkero Charge Mode is learned.,0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,Magic Drain Missile,28,True,10,7,"When Magic Missile inflicts damage to an enemy, restore the user's MP by (SLv).",0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,MP High Boost,1,False,3,5,Greatly increase maximum MP.,0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,TP High Boost,2,False,6,5,Greatly increase maximum TP.,0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Attack High Boost,3,False,6,5,Greatly increase Attack.,0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Defense High Boost,4,False,6,5,Greatly increase Defense.,0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Magic High Boost,5,False,6,5,Greatly increase Magic.,0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Mind High Boost,6,False,6,5,Greatly increase Mind.,0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Gensokyo's Shopkeeper,20,False,1,10,Increase item drop rate by (SLv * 4)%. Only works if he's in the party. Effect is reduced to (SLv)% if Rinnosuke is in the back row.,0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Keen-eyed Shop Owner Saga,21,False,1,10,Increase money drop rate by (SLv * 2)%. Only works if he's in the party. Effect is reduced to (SLv * 0.66)% if Rinnosuke is in the back row.,0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Effective Formation Change,22,False,5,2,"When Rinnosuke performs a Form Change command to swap a reserve member into the active party, that member's ATB will be set at (7500 + SLv * 800).",0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Weird Creatures Knowledge,23,False,5,2,Damage against Other-Type enemies is increased by (SLv * 10%) if Rinnosuke is on the front line. The bonus doesn't stack with similar effects.,0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Attack Debuff Add-On,24,False,5,2,"When Rinnosuke takes a turn, he has a chance to inflict a (SLv * 4)% ATK debuff on each enemy.",0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Magic Debuff Add-on,25,False,5,2,"When Rinnosuke takes a turn, he has a chance to inflict a (SLv * 4)% MAG debuff on each enemy.",0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Murakumo's Previous Owner,26,True,10,10,"Add a (SLv)% all stat debuff to all attacks, and a (SLv * 1.5)% all stat buff to all healing spells. (Debuff rate:65%)",0,0,0,0,0,0,0,0,0,0,0,0
Rinnosuke Morichika,3,Guts,27,True,5,2,"If Rinnosuke gets knocked out, there is a (SLv * 25) % chance that 10 TP will get consumed and he will stay alive with 1 HP.",0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,MP Boost,1,False,2,5,Increase maximum MP.,0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,TP Boost,2,False,2,5,Increase maximum TP.,0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,Magic Boost,5,False,2,5,Increase Magic.,0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,With Mokou,20,False,5,2,"When Mokou is active, Keine's Attack and Magic increase by (SLv * 15)% ((SLv * 21)% in Plus Disk).",0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,Organized Formation,21,False,10,1,"When Keine is active and a Form Change command is performed, all characters involved (switcher and the two switched characters) will recover 1 MP.",0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,Firm Defense,22,False,5,2,"When receiving damage from an enemy attack, Defense and Mind are buffed by (SLv * 5)%.",0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,Teacher's Command,23,False,6,2,"When Keine receives a turn, all active members receive a (SLv * 6)% Mind buff.",0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,Historian's School,24,False,10,1,All party members receive 6% more exp. Only takes effect if Keine is in the party of 12.,0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,History Accumulation,25,False,16,3,"(Plus Disk only) When Keine uses a Three Treasures spell, increase an appropriate counter by 1. The user's ATK and MAG are increased by (Sword counter * 10)%, and the user's DEF and MND are increased by (Mirror counter * 12)%. The combined maximum of both counters is (SLv).",0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,Impervious Formation Change,26,True,50,1,"When the user switches a character from the back to the front while having at least 1 TP, the switched in character will have 9999 ATB, while the user's TP is reduced by 1.",0,0,0,0,0,0,0,0,0,0,0,0
Keine Kamishirasawa,4,Were-Hakutaku Form,27,True,7,10,Increase all of user's base stats by (SLv * 1).,1,0,0,1,1,1,1,1,0,0,0,0
Keine Kamishirasawa,4,Ability to Create History,28,True,25,3,The maximum stacks of History Accumulation increases by (SLv).,0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,HP Boost,0,False,2,5,Increase base HP.,0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Attack Boost,3,False,2,5,Increase Attack.,0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Defense Boost,4,False,2,5,Increase Defense.,0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Ability to See Far Distances,20,False,5,2,"When Momiji is on the front line, all active members' accuracy is increased by (SLv * 25)%.",0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Tengu's Watchful Eye,21,False,5,2,Damage against Flying-Type enemies is increased by (SLv * 10)% if Momiji is on the front line. The bonus doesn't stack with similar effects.,0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Accelerate,22,False,10,1,"When Momiji receives a turn, she will gain a 10% Speed buff.",0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Eyes that Perceive Reality,23,False,7,1,"When Momiji attacks or is attacked by an enemy with stat buffs, damage is calculated as if the enemy's buffs were non-existant.",0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Instant Attack,24,False,12,1,"When Momiji is brought to the front line from the reserve party, her ATB bar is set to 10000. Plus Disk also makes it cost 1 TP, not activating if the user doesn't have enough TP.",0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,White Wolf's Sword and Shield,25,True,16,8,"When the user attacks an enemy with a normal Attack or a spellcard, buff user's ATK by (SLv * 3)%. When the user Concentrates or uses Formation Change, buff user's DEF and MND by (SLv * 3)%.",0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Youkai Mountain Alliance?,26,True,25,2,"When at least 2 of Aya, Momiji, Nitori and Hina are in front, the user's all stats are increased by (SLv * 7)% for each member in front excluding herself. This can only take effect if at least one ally or enemy has acted in battle.",0,0,0,0,0,0,0,0,0,0,0,0
Momiji Inubashiri,5,Encounter with a Strong Foe,27,True,10,1,"If the user does not defeat an enemy after attacking it, give a 7% buff to all of the user's stats (Bug: works even when the user doesn't attack the enemy, such as with Auxiliary spells or Concentrating, though it doesn't work with Form Change)",0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Attack Boost,3,False,2,5,Increase Attack.,0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Defense Boost,4,False,2,5,Increase Defense.,0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Mind Boost,6,False,2,5,Increase Mind.,0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Regeneration,20,False,10,1,Restores 10% of max HP every time Youmu takes an action.,0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Netherworld Dweller,21,False,5,2,Damage against Ghost-Type enemies is increased by (SLv * 10)% if Youmu is on the front line. The bonus doesn't stack with similar effects.,0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Dexterity,22,False,7,1,"When Youmu receives an Attack/Magic debuff, that debuff is instead calculated as a buff of the same magnitude.",0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Mental Concentration,23,False,4,4,Increases MP regained by Concentrate by (SLv * 1).,0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Meikyo Shisui,24,False,5,2,"Whenever Youmu takes a turn and her MP is full, she receives a (SLv * 6)% buff to all her stats.",0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Desperation,25,False,5,2,"When Youmu's HP is less than (20 + SLv * 20)%, all her stats are increased by 25%.",0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Sword Spirit,26,False,20,1,"When Youmu concentrates, gain the ""Sword Spirit"" effect. If she attacks while having full HP and this effect, remove the effect and reduce her HP by 20% to increase the damage by 50%. (Plus Disk only)",0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Asura's Blood,27,True,75,1,"The user receives a damage bonus depending on her current HP %. The bonus increases as her HP decreases, to a maximum of 110%. (bonus is 10% at max HP, and then increases per each % of lost HP)",0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,As the Silent Nirvana,28,True,50,3,"When the user receives fatal damage while having ""Sword Spirit"" effect, there's a (SLv * 33)% chance to remove the effect and reduce the user's TP by 10 to endure with 1 HP.",0,0,0,0,0,0,0,0,0,0,0,0
Youmu Konpaku,6,Mistress & Servant,29,True,25,2,"If Youmu and Yuyuko are in the party of 12, increase the user's all stats by (SLv * 10)%.",0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,TP Boost,2,False,2,5,Increase Maximum TP.,0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Attack Boost,3,False,2,5,Increase Attack.,0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Evasion Boost,8,False,2,5,Increase Evasion.,0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Ability to Surprise Humans,20,False,10,1,"All attacks can now inflict Terror, and attacks that already inflicted Terror have their effect increased.(25% infliction rate, 5000 strength).",0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Easygoing,21,False,5,1,Regenerate HP when using Concentrate. The recovery rate is twice as much as from backline HP recovery.,0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Sheer Force,22,False,15,1,"When attacking with an element the enemy resists, reduce enemy's elemental affinity to (100 + (affinity - 100) / 2). Additionally, pierce 1/3 of the enemy's ailment and debuff resistances when atttacking.",0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Heart of Perseverance,23,False,5,2,Gives (SLv * 66)% chance of recovering (SLv) MP when taking damage from an enemy attack.,0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Troubled Forgotten Item,24,False,6,2,"Restores (SLv) MP every time Kogasa attacks an enemy affected by Terror, and buffs all her stats by (SLv * 10)%. (Does not stack for multiple enemies)",0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Waterproof Ghost Umbrella,25,False,24,1,Increase damage dealt to targets affected by Terror by 33%. (Plus Disk only),0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Astonishing Ghost Umbrella,26,False,24,1,Decrease damage taken from enemies affected by Terror by 40%. Has no effect if Waterproof Ghost Umbrella is learned. (Plus Disk only),0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Angstfreude,27,True,60,1,"When the user receives a turn, slightly restore HP for all frontliners. The restoration is increased in proportion to the number of characters or enemies under Terror. It is also increased in battles which cannot be fled from. (2% max HP regen in random battles, +4% for each TRRed unit; 10% regen in event fights, +16% per TRRed unit.)",0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,The Terror Unto Death,28,True,10,10,"When the user attacks with a personal spell card on enemies under Terror, increase damage inflicted by (SLv * 10)%. When this effect activates, remove the Terror effect (SLv * 2)% of the time.",0,0,0,0,0,0,0,0,0,0,0,0
Kogasa Tatara,7,Speedy Formation Change,29,True,5,2,"When the user uses ""Formation Change"" command, her delay is set to (7500 + SLv * 800).",0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Magic Boost,5,False,2,5,Increase Magic.,0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Speed Boost,7,False,2,5,Increase Speed.,0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Affinity Boost,10,False,2,5,Increase all Elemental Resistances.,0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Team ⑨,20,False,5,2,"While Rumia is in the front line, Rumia's stats are increased by (SLv * 8) for each member of Team ⑨ that's also in the front line not including herself. This can only take effect if at least one ally or enemy has performed an action in the battle.",0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Realm of Eternal Darkness,21,False,5,2,"When Rumia is on the front line, all allies on the front line take (SLv * 15)% less Dark damage. (Plus Disk: No longer bugged to reduce Rumia's DRK healing power)",0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Youkai's Knowledge,22,False,5,2,Damage against Human-Type enemies is increased by (SLv * 10)% if Rumia is on the front line. The bonus doesn't stack with similar effects.,0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Piercing Attack,23,False,5,2,"Whenever an attack deals 0 damage due to the enemies' defenses, (SLv * 20)% of the attack's pre-defense, pre-multiplier damage will be dealt instead.",0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Darkness Manipulation,24,False,5,2,Decreases the rate at which the encounter rate counter increases by (SLv * 12). Stacks with similar skills but caps at 75% reduction.,0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Great Piercing Attack,25,True,60,1,"When both Piercing Attack and this skill are learned, Piercing Attack's minimum defense-igoring damage is increased. (A further 20% of damage pre-multiplier is added, making Moonlight Ray ~108% MAG at minimum for any skill level, slighter weaker than a lv5 Dark Side of the Moon)",0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Robes of Engulfing Darkness,26,True,60,1,"Moonlight Ray will inflict all status ailments other than debuffs. Dark Side of the Moon will debuff all stats. (Proc Rate is 66% on all effects, with 5000 strength on all ailments and -14% on all debuffs)",0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Darkness-Lurking Youkai,27,True,10,10,Increase the user's Evade by (SLv * 8) and Magic by (SLv * 1.2).,0,0,0,0,0,1.2,0,0,8,0,0,0
Rumia,8,Proof of Kinship,28,True,100,1,The user's synergy skill will grant half of its bonus for every synergy partner who is in the backline.,0,0,0,0,0,0,0,0,0,0,0,0
Rumia,8,Going it Alone,29,True,50,1,"If no character in the party of 12 has learned Team ⑨, increase the user's all stats by 16%.",0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,TP Boost,2,False,2,5,Increase TP.,0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Speed Boost,7,False,2,5,Increase Speed.,0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Affinity Boost,10,False,2,5,Increase all Elemental Resistances.,0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Team ⑨,20,False,5,2,"While Cirno is in the front line, Cirno's stats are increased by (SLv * 8) for each member of Team ⑨ that's also in the front line not including herself. This can only takes effect if at least one ally or enemy has performed an action in the battle.",0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Always Rising after Falling,21,False,4,3,The amount of TP lost after combat is reduced by (SLv). The amount of TP lost after dying is reduced by (SLv * 3). Cannot reduce TP loss below 1 and doesn't work if you Escape.,0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Beloved Tomboyish Girl,22,False,5,2,"When Cirno receives a turn, she has a chance to inflict a (SLv * 4)% Speed debuff to all enemies.",0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Lively and Healthy,23,False,5,2,Recovers (100 + Lv * 150)% faster from ailments and debuffs. (Bug: doesn't actually speed up recovery from debuffs),0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Ability to Manipulate Ice,24,False,5,2,"When Cirno is on the front line, all allies on the front line take (SLv * 15)% less Cold damage.",0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Blizzard Blowout,25,False,8,5,"When the user is KO'd, inflict a (SLv * 10)% SPD debuff on all enemies regardless of resistance. (Plus Disk Only)",0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Tomboyish Girl's Vengeance,26,True,70,1,"When the user uses a spell with a SPD debuffing effect and the debuff fails, inflict the debuff anyways at 1/5 strength regardless of resistance. Increases damage dealt with personal spellcards on speed debuffed enemies by Debuff*2.5 (max 125%).",0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Acrobatic Tomboyish Fairy,27,True,9,8,"Increase the user's base SPD by (SLv), and the user's Evade by (SLv * 4).",0,0,0,0,0,0,0,1,4,0,0,0
Cirno,9,Proof of Kinship,28,True,100,1,The user's synergy skill will grant half of its bonus for every synergy partner who is in the backline.,0,0,0,0,0,0,0,0,0,0,0,0
Cirno,9,Going it Alone,29,True,50,1,"If no character in the party of 12 has learned Team ⑨, increase the user's all stats by 16%.",0,0,0,0,0,0,0,0,0,0,0,0
Minoriko Aki,10,Magic Boost,5,False,2,5,Increase Magic.,0,0,0,0,0,0,0,0,0,0,0,0
Minoriko Aki,10,Speed Boost,7,False,2,5,Increase Speed.,0,0,0,0,0,0,0,0,0,0,0,0
Minoriko Aki,10,Resistance Boost,11,False,2,5,Increase all Ailment resistances.,0,0,0,0,0,0,0,0,0,0,0,0
Minoriko Aki,10,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Minoriko Aki,10,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Minoriko Aki,10,Symbol of Harvest,20,False,5,2,Damage against Plant-Type enemies is increased by (SLv * 10)% if Minoriko is on the front line. The bonus doesn't stack with similar effects.,0,0,0,0,0,0,0,0,0,0,0,0
Minoriko Aki,10,Desire to Rest,21,False,5,2,"When Minoriko retreats to the reserve party, she will recover (SLv * 8)% HP and MP.",0,0,0,0,0,0,0,0,0,0,0,0
Minoriko Aki,10,Regeneration,22,False,10,1,Restores 10% of max HP every time Minoriko takes an action.,0,0,0,0,0,0,0,0,0,0,0,0
Minoriko Aki,10,Ability to Control Harvests,23,False,6,2,"When Minoriko receives a turn, all active members receive a (SLv * 4)% Magic buff.",0,0,0,0,0,0,0,0,0,0,0,0
